2026-08-05T17:37:06.192722540Z [inf]  Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/643fa160-f6a2-4092-a575-213997098464/vol_rtzzjoki33d2gyu7
2026-08-05T17:38:24.565584081Z [err]  2026-08-05 17:38:24,557 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=20 exc='utf-8' codec can't decode byte 0xeb in position 3: invalid continuation byte first_bytes=000003eb7b22617564696f5f696e666f223a7b22
2026-08-05T17:38:24.565588329Z [err]  2026-08-05 17:38:24,557 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=20 raw_header=[17, 145, 16, 0, 0, 0, 0, 20, 0, 0, 3, 235]
2026-08-05T17:38:24.565591330Z [err]  2026-08-05 17:38:24,557 [INFO] asr_service: [ASR-Stream←火山] 响应 #20 msg_type=9 flags=1 is_final=False payload_size=1007 text=''
2026-08-05T17:38:24.565594117Z [err]  2026-08-05 17:38:24,557 [WARNING] asr_service: [ASR-Stream←火山] 响应 #20 text为空 payload_size=1007 body: (empty)
2026-08-05T17:38:24.750443724Z [err]  2026-08-05 17:38:24,749 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=21 exc='utf-8' codec can't decode byte 0xeb in position 3: invalid continuation byte first_bytes=000003eb7b22617564696f5f696e666f223a7b2264
2026-08-05T17:38:24.750450269Z [err]  2026-08-05 17:38:24,749 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=21 raw_header=[17, 145, 16, 0, 0, 0, 0, 21, 0, 0, 3, 235]
2026-08-05T17:38:24.750453936Z [err]  2026-08-05 17:38:24,749 [INFO] asr_service: [ASR-Stream←火山] 响应 #21 msg_type=9 flags=1 is_final=False payload_size=1007 text=''
2026-08-05T17:38:24.750457866Z [err]  2026-08-05 17:38:24,749 [WARNING] asr_service: [ASR-Stream←火山] 响应 #21 text为空 payload_size=1007 body: (empty)
2026-08-05T17:38:24.752530119Z [err]  2026-08-05 17:38:24,751 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=45000000 exc=Expecting value: line 1 column 1 (char 0) first_bytes=000000697b226572726f72223a226465636f64652077732072657175657374206661696c65643a20756e61626c6520746f206465636f64652056312070726f746f636f6c206d6573736167653a20756e61626c6520746f20756e677a6970207061796c6f61643a20454f46227d
2026-08-05T17:38:24.752535511Z [err]  2026-08-05 17:38:24,751 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=15 flags=0 compression=0 serialization=1 payload_size=45000000 raw_header=[17, 240, 16, 0, 2, 174, 165, 64, 0, 0, 0, 105]
2026-08-05T17:38:24.752539025Z [err]  2026-08-05 17:38:24,751 [WARNING] asr_service: [ASR-Stream←火山] 错误响应 #22: {}
2026-08-05T17:38:24.752542032Z [err]  2026-08-05 17:38:24,751 [INFO] chat_router: [ASR-Stream→前端] final: ''
2026-08-05T17:38:24.752545063Z [err]  2026-08-05 17:38:24,751 [INFO] chat_router: [ASR-Stream→前端] 已推送 final 给前端: ''
2026-08-05T17:38:24.754286897Z [err]  2026-08-05 17:38:24,752 [INFO] asr_service: [ASR-Stream] WebSocket 已关闭
2026-08-05T17:38:25.062115825Z [err]  2026-08-05 17:38:25,061 [INFO] main: [REQ] 100.64.0.7 — POST /api/upload/audio → 200 (56ms)
2026-08-05T17:38:25.062121145Z [inf]  INFO:     100.64.0.7:57392 - "POST /api/upload/audio HTTP/1.1" 200 OK
2026-08-05T17:38:25.471480864Z [err]  2026-08-05 17:38:25,170 [INFO] chat_router: [ASR-Stream] 会话结束: audio_frames=20 final=''
2026-08-05T17:38:25.471485921Z [err]  INFO:     connection closed
2026-08-05T17:38:25.888383569Z [err]  2026-08-05 17:38:25,879 [INFO] main: [REQ] 100.64.0.9 — OPTIONS /api/chat/turn → 200 (0ms)
2026-08-05T17:38:25.888387007Z [inf]  INFO:     100.64.0.9:16202 - "OPTIONS /api/chat/turn HTTP/1.1" 200 OK
2026-08-05T17:38:26.497643528Z [err]  2026-08-05 17:38:26,130 [INFO] chat_router: [chat/turn] 收到请求: user_text=, history_count=1, history_preview=[{"role": "ai", "text": "Excuse me, do you have the ancient scroll *Twelve Coastal Defense Strategies* available, and may I inquire about reading..."}]
2026-08-05T17:38:26.497648509Z [err]  2026-08-05 17:38:26,130 [INFO] chat_service: [chat] conversation_history 组装完成: history_turns=1, assembled_messages=[{"role": "system", "content": "You are an AI conversation partner in a task-based English learning scenario.\\nYour job is to help the student practice ..."}, {"role": "assistant", "content": "Excuse me, do you have the ancient scroll *Twelve Coastal Defense Strategies* available, and may I inquire about reading..."}, {"role": "user", "content": "[inaudible]"}]
2026-08-05T17:38:26.497652235Z [err]  2026-08-05 17:38:26,130 [INFO] chat_service: [chat] 调用 LLM 生成回复 — history=1 turns
2026-08-05T17:38:28.045177103Z [err]  2026-08-05 17:38:28,037 [INFO] httpx: HTTP Request: POST https://ark.cn-beijing.volces.com/api/v3/chat/completions "HTTP/1.1 200 OK"
2026-08-05T17:38:28.045182152Z [err]  2026-08-05 17:38:28,038 [INFO] chat_service: [chat] 模型返回文本(raw): I'm sorry, I didn't catch what you said clearly. Could you please repeat your question about the ancient scrolls?
2026-08-05T17:38:28.045185996Z [err]  2026-08-05 17:38:28,038 [INFO] chat_service: [chat] 模型返回文本(clean): I'm sorry, I didn't catch what you said clearly. Could you please repeat your question about the ancient scrolls?
2026-08-05T17:38:28.045188950Z [err]  2026-08-05 17:38:28,038 [INFO] chat_service: [chat] 模型返回解析结果: ai_text=I'm sorry, I didn't catch what you said clearly. Could you please repeat your question about the ancient scrolls?, is_final=False
2026-08-05T17:38:28.770577251Z [err]  2026-08-05 17:38:28,752 [INFO] httpx: HTTP Request: POST https://openspeech.bytedance.com/api/v3/tts/unidirectional "HTTP/1.1 200 OK"
2026-08-05T17:38:29.496356574Z [err]  2026-08-05 17:38:29,266 [INFO] chat_service: [TTS] 豆包 TTS 成功
2026-08-05T17:38:29.496360363Z [err]  2026-08-05 17:38:29,266 [INFO] chat_service: [TTS] 豆包生成成功: /uploads/tts/95780fb2c7bd.mp3
2026-08-05T17:38:29.496363588Z [err]  2026-08-05 17:38:29,267 [INFO] chat_router: [chat/turn] 回传: ai_text=I'm sorry, I didn't catch what you said clearly. Could you please repeat your question about the ancient scrolls?, user_text=, is_final=False, has_audio=True
2026-08-05T17:38:29.496366302Z [err]  2026-08-05 17:38:29,267 [INFO] main: [REQ] 100.64.0.5 — POST /api/chat/turn → 200 (3138ms)
2026-08-05T17:38:29.496369676Z [inf]  INFO:     100.64.0.5:23448 - "POST /api/chat/turn HTTP/1.1" 200 OK
2026-08-05T17:38:29.562188952Z [err]  2026-08-05 17:38:29,559 [INFO] main: [REQ] 100.64.0.10 — GET /uploads/tts/95780fb2c7bd.mp3 → 206 (1ms)
2026-08-05T17:38:29.562193689Z [inf]  INFO:     100.64.0.10:21800 - "GET /uploads/tts/95780fb2c7bd.mp3 HTTP/1.1" 206 Partial Content
